grupo,nome,arquivo,tamanho,formato
01_kpi_metricas,pipeline_total,01_kpi_metricas/pipeline_total.png,128x128,PNG RGBA
01_kpi_metricas,pipeline_ponderado,01_kpi_metricas/pipeline_ponderado.png,128x128,PNG RGBA
01_kpi_metricas,receita_fechada,01_kpi_metricas/receita_fechada.png,128x128,PNG RGBA
01_kpi_metricas,taxa_conversao,01_kpi_metricas/taxa_conversao.png,128x128,PNG RGBA
01_kpi_metricas,ticket_medio,01_kpi_metricas/ticket_medio.png,128x128,PNG RGBA
01_kpi_metricas,ciclo_venda,01_kpi_metricas/ciclo_venda.png,128x128,PNG RGBA
01_kpi_metricas,perdidos_periodo,01_kpi_metricas/perdidos_periodo.png,128x128,PNG RGBA
01_kpi_metricas,insight_mes,01_kpi_metricas/insight_mes.png,128x128,PNG RGBA
02_tipos_graficos,grafico_barras,02_tipos_graficos/grafico_barras.png,128x128,PNG RGBA
02_tipos_graficos,grafico_linhas,02_tipos_graficos/grafico_linhas.png,128x128,PNG RGBA
02_tipos_graficos,grafico_pizza,02_tipos_graficos/grafico_pizza.png,128x128,PNG RGBA
02_tipos_graficos,funil,02_tipos_graficos/funil.png,128x128,PNG RGBA
02_tipos_graficos,area,02_tipos_graficos/area.png,128x128,PNG RGBA
02_tipos_graficos,tabela,02_tipos_graficos/tabela.png,128x128,PNG RGBA
02_tipos_graficos,comparativo,02_tipos_graficos/comparativo.png,128x128,PNG RGBA
02_tipos_graficos,heatmap,02_tipos_graficos/heatmap.png,128x128,PNG RGBA
03_acoes_controles,exportar_csv,03_acoes_controles/exportar_csv.png,128x128,PNG RGBA
03_acoes_controles,atualizar,03_acoes_controles/atualizar.png,128x128,PNG RGBA
03_acoes_controles,selecionar_periodo,03_acoes_controles/selecionar_periodo.png,128x128,PNG RGBA
03_acoes_controles,filtros,03_acoes_controles/filtros.png,128x128,PNG RGBA
03_acoes_controles,buscar,03_acoes_controles/buscar.png,128x128,PNG RGBA
03_acoes_controles,visualizar,03_acoes_controles/visualizar.png,128x128,PNG RGBA
03_acoes_controles,configurar,03_acoes_controles/configurar.png,128x128,PNG RGBA
03_acoes_controles,compartilhar,03_acoes_controles/compartilhar.png,128x128,PNG RGBA
03_acoes_controles,mais_opcoes,03_acoes_controles/mais_opcoes.png,128x128,PNG RGBA
04_entidades_segmentos,usuarios,04_entidades_segmentos/usuarios.png,128x128,PNG RGBA
04_entidades_segmentos,equipe,04_entidades_segmentos/equipe.png,128x128,PNG RGBA
04_entidades_segmentos,empresas,04_entidades_segmentos/empresas.png,128x128,PNG RGBA
04_entidades_segmentos,vendedores,04_entidades_segmentos/vendedores.png,128x128,PNG RGBA
04_entidades_segmentos,leads,04_entidades_segmentos/leads.png,128x128,PNG RGBA
04_entidades_segmentos,oportunidades,04_entidades_segmentos/oportunidades.png,128x128,PNG RGBA
04_entidades_segmentos,campanhas,04_entidades_segmentos/campanhas.png,128x128,PNG RGBA
04_entidades_segmentos,email,04_entidades_segmentos/email.png,128x128,PNG RGBA
05_status_indicadores,crescimento,05_status_indicadores/crescimento.png,128x128,PNG RGBA
05_status_indicadores,queda,05_status_indicadores/queda.png,128x128,PNG RGBA
